POI名称,所在区县,详细地址,经度,纬度,POI类型,分析类别
八里山庄,浦口区,万科璞悦山西(近万科地产),118.596793,32.071142,体育休闲服务;休闲场所;休闲场所|餐饮服务;中餐厅;中餐厅,餐饮
泰顺江南春面馆,秦淮区,应天大街387-28号,118.769973,32.008798,餐饮服务;中餐厅;中餐厅,餐饮
石佛胖子酒家,浦口区,珍珠街商城小区内,118.680485,32.108792,餐饮服务;中餐厅;中餐厅,餐饮
杨氏特色干挑面,溧水区,新龙佳苑9-8号,119.027469,31.647094,餐饮服务;中餐厅;中餐厅,餐饮
味多来(亚东商业广场店),栖霞区,栖霞区-学衡路5号1-37,118.916321,32.093342,餐饮服务;外国餐厅;韩国料理,餐饮
许阿姨糕团店(福园街店),建邺区,福园街与茶南大街交叉口西北50米,118.747603,32.03091,餐饮服务;餐饮相关场所;餐饮相关,餐饮
脂肪家庭厨房,建邺区,莫愁湖东路52号,118.765416,32.03878,餐饮服务;餐饮相关场所;餐饮相关,餐饮
上品汇淮扬菜(仙林总店),栖霞区,仙隐北路12号亚东商业广场A1-1(近文枢东路),118.908509,32.092408,餐饮服务;中餐厅;江苏菜,餐饮
清真·AL-JANNAT佳纳特印度餐厅(狮子桥店),鼓楼区,鼓楼湖南路狮子桥2号,118.778377,32.068005,餐饮服务;外国餐厅;印度风味,餐饮
敏珠拉姆藏式主题餐厅(建邺富春江东街店),建邺区,富春江东街82-2号,118.729699,31.997852,餐饮服务;中餐厅;中餐厅,餐饮
金姐台湾菜,玄武区,珠江路291号-5号(浮桥地铁站2号口步行280米),118.792976,32.049186,餐饮服务;中餐厅;台湾菜,餐饮
箸福·夜上海(仙林金鹰店),栖霞区,学海路1号仙林金鹰湖滨天地B区2层B-08(北京银行旁进商场二楼),118.923379,32.100589,餐饮服务;餐饮相关场所;餐饮相关,餐饮
乡村人(鹂岛路店),栖霞区,双柳河路与鹂岛路交叉口南140米,118.800641,32.177263,餐饮服务;中餐厅;中餐厅,餐饮
渡月•河景餐吧,秦淮区,平江府路121号-1号,118.792785,32.020654,餐饮服务;茶艺馆;茶艺馆,餐饮
德天雪花肥牛海鲜火锅(大厂店),六合区,大厂街道晓山路100号3楼,118.739377,32.220618,餐饮服务;中餐厅;火锅店,餐饮
富润钟山茶馆,玄武区,钟灵街灵谷寺8号南京体育学院南门报亭,118.870505,32.045299,餐饮服务;中餐厅;中餐厅,餐饮
川友小酒馆,秦淮区,永乐北路8号,118.802135,31.997632,餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;海鲜酒楼,餐饮
东北炖家常菜(仙林新村店),栖霞区,仙林街道仙林新村农贸市场40号,118.912723,32.097269,餐饮服务;中餐厅;东北菜,餐饮
北京烤鸭(尧化门店),栖霞区,尧化街道金尧路9-11号,118.87341,32.12343,餐饮服务;中餐厅;中餐厅,餐饮
香山湖南京山里菜(老山店),浦口区,永宁镇大堰村黄山岭路老山国家森林公园主路口,118.5942,32.098545,餐饮服务;中餐厅;中餐厅,餐饮
东北炖家常菜(仙林新村店),栖霞区,仙林街道仙林新村农贸市场40号,118.912723,32.097269,餐饮服务;中餐厅;东北菜,餐饮
北京烤鸭(尧化门店),栖霞区,尧化街道金尧路9-11号,118.87341,32.12343,餐饮服务;中餐厅;中餐厅,餐饮
香山湖南京山里菜(老山店),浦口区,永宁镇大堰村黄山岭路老山国家森林公园主路口,118.5942,32.098545,餐饮服务;中餐厅;中餐厅,餐饮
贵州苗乡牛肉馆,栖霞区,练油厂生活区三村门面房2-6号,118.931721,32.151854,餐饮服务;中餐厅;云贵菜|餐饮服务;中餐厅;火锅店,餐饮
俏陵轩·淮扬菜(月安街店),建邺区,月安街57-1号,118.720889,32.02248,餐饮服务;中餐厅;中餐厅,餐饮
可西玛西班牙餐厅(上海路店),鼓楼区,上海路120号(上海路工商银行对面),118.774232,32.054519,餐饮服务;外国餐厅;地中海风格菜品,餐饮
姐妹·江浦菜,浦口区,江浦街道珠江路雍雅园5栋8号,118.636331,32.06409,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
伴山居菜馆,栖霞区,西岗街道桦墅村周冲24号,119.031451,32.111507,餐饮服务;中餐厅;中餐厅,餐饮
乌托邦·月食丛林餐厅主题营地,六合区,四新村横梁北收费站正对面,118.970141,32.344893,餐饮服务;餐饮相关场所;餐饮相关,餐饮
叮咚买菜(维禹空港物流园店),溧水区,秧田路与福溪路交叉口西北200米,118.965247,31.750553,餐饮服务;餐饮相关场所;餐饮相关,餐饮
CoCo都可(锁金村),玄武区,锁金6村10-3号,118.813698,32.073629,餐饮服务;冷饮店;冷饮店,餐饮
